translate;full_text;label
Terima kasih telah membawa kesadaran untuk masalah ini;Thank you for bringing awareness to this issue;positif
Apakah Anda melihat Tsar perbatasan kami di sana? https://t.co/byvuudexvl;Did you see our Border Czar there? https://t.co/bYvUUdEXVl;tidak relevan
https://t.co/2sw1zitpn5;https://t.co/2Sw1ZiTPN5;tidak relevan
Sebagai pencinta kemanusiaan, bagaimana Anda mendamaikan hanya orang -orang tertentu yang diizinkan di bagian bumi tertentu? Apa kriteria yang diizinkan di Mars?;As a lover of humanity, how do you reconcile only certain people are allowed on certain parts of Earth?  What will be the criteria to be allowed on Mars?;netral
https://t.co/w8wudwgmMu;https://t.co/W8wUdwGMMU;tidak relevan
@X pergi berikan padamu! https://t.co/dgmnr1oynq;@X gone give it to ya! https://t.co/DgmNr1oynq;tidak relevan
Buka mata yang tertutup!;Open the eyes of the closed!;negatif
. @HIVHEP menuduh Rencana Kesehatan Texas @Chctexas menyediakan cakupan subtandard & amp #HIV #rx: https://t.co/8k8zyw0rm5 https://t.co/iqa1g37d0h;.@HIVHep alleges Texas health plan @CHCTexas is providing substandard &amp  discriminatory #HIV #Rx coverage: https://t.co/8K8ZYW0Rm5 https://t.co/iqA1G37d0H;tidak relevan
https://t.co/5euc4y8fl1;https://t.co/5euc4Y8Fl1;tidak relevan
Dari kualitas video, apakah kalian pikir dia menggunakan iPhone atau Android? ??;From the quality of the video, do you guys think he uses iphone or android???;tidak relevan
oh dang dia melakukannya!;oh dang he did it!;netral
Saya menambahkan ke video Anda untuk membuat orang -orang retensi rendah tetap terhubung https://t.co/1yfnedq8n3;I added to your video to keep the low retention folks engaged https://t.co/1yfnEdq8N3;netral
Jadi orang terkaya di dunia telah berkunjung ke perbatasan dan melihat masalah yang ada, tangan pertama dan Kamala dan AOC berpikir tidak ada masalah ... yup ... masuk akal lol;So the richest man in world has visited to border and seen the issues at hand, first hand and Kamala and AOC think there isnï¿½t an issueï¿½ yupï¿½ makes sense lol;netral
Menikahlah denganku .;marry me .;tidak relevan
@Mayraflores_tx @txdps akan membiarkan Anda berbicara dengan kami yang telah meliputnya secara luas selama satu dekade dan dapat memberi Anda wawasan tetapi kami diblokirï¿½;@MayraFlores_TX Wish @TxDPS would have let you talk to those of us who have been covering it extensively for a decade and can give you insight but we were blockedï¿½;negatif
Elon, saya tahu Anda mungkin kewalahan mengikuti perjalanan Anda ke perbatasan hari ini ... tetapi apakah Anda benar -benar tertarik untuk terlibat, sebenarnya menangani masalah ini? Jika demikian, mohon beberapa orang Anda menjangkau saya. Izinkan saya mohon membantu membuat komisi dan bekerja untukï¿½;Elon, I know youï¿½re likely overwhelmed following your trip to the border todayï¿½ but are you genuinely interested in becoming involved, actually addressing the issue? If so, please have some of your people reach out to me. Allow me pls to help create a commission and work toï¿½;positif
Elon melakukan jurnalisme warga sekarang. Dayng.;Elon doing citizen journalism now. Dayng.;netral
Senang melihat liputan langsung, nyata, dan jujur. Lebih dari ini tolong!;Great to see live, real, honest coverage. More of this please!;positif
Jurnalisme Warga Besar Great ?? Penting untuk memiliki pengetahuan langsung tentang situasi tersebut. Sekarang kita tahu hal -hal apa yang bisa dilakukan untuk membantu, mereka harus dilakukan dengan cepat;great citizen journalism ?? Itï¿½s important to have first hand knowledge of the situation. now that we know what things can be done to help, they should be done swiftly;positif
Yang paling mengejutkan saya adalah kenyataan bahwa kita tidak bisa melihat warga negara Meksiko sebagai kelompok mayoritas di sini di antara kelompok -kelompok itu. Saya mengerti mereka dari seluruh penjuru, maksud saya, entah bagaimana adalah hal yang baik menjadi Meksiko negara perbatasan.;What really surprise me the most is the fact that we donï¿½t get to see Mexican nationals as a mayority group here among those groups.  I understand they are from all over, I mean, somehow is a good thing being Mexico the borderline country.;netral
Apakah meme review tadi malam dengan Justin Roiland dari @rickandmorty;Did meme review last night with Justin Roiland from @RickandMorty;netral
I Triple Dog menantang Anda untuk menjadi tuan rumah ulasan meme.;I triple dog dare you to host meme review.;netral
https://t.co/4pimo4j0k9;https://t.co/4PiMO4J0k9;tidak relevan
Ya https://t.co/t1ihn1s8w9;YES https://t.co/T1ihN1s8w9;positif
Betapa waktu untuk hidup!;What a time to be alive!;positif
Saya akan membeli 1/20 Tesla jika Anda melakukannya;I'll buy 1/20th of a Tesla if you do;positif
sejarah dibuat;history being made;positif
PewDiePie mengatakan bahwa Anda hanya dapat menjadi tuan rumah ulasan meme jika Anda mengikuti saya di twitter;pewdiepie said that you can only host meme review if you follow me on twitter;tidak relevan
@tokenizeTweets 0xf4ed4fe99943513ea6e70ff576986311f416127c;@tokenizedtweets 0xf4ed4FE99943513Ea6E70ff576986311f416127c;tidak relevan
Apa;What;tidak relevan
Ya;yes;positif
https://t.co/qho7pixhsn;https://t.co/Qho7pIXHsn;tidak relevan
Sangat mudah untuk membiarkan perang, kelaparan, dan kesedihan yang meluas membingungkan kita. Tetapi posting ini mengingatkan kita bahwa kita berada dalam garis waktu yang diberkati;It's easy to let the war, famine, and widespread sadness confuse us.  But this post reminds us that we're in a blessed timeline;positif
Saya akan berinvestasi di saham Tesla jika Anda melakukannya.;I will invest in Tesla stock if you do.;positif
Malapetaka?);Doom?);netral
Dan berlangganan pewdiepie;And subscribe to PewDiePie;positif
Tahun Terbaik 2019 sudah.;2019 best year already.;netral
? ? ? ? https://t.co/okcgi7jhru;???? https://t.co/OKcgi7jhrU;tidak relevan
? ? ? ? ? ? ya;?????? yes;tidak relevan
atau co-host spesial?;or a co-host special?;tidak relevan
Double Barrel bukan pelempar api?;Double barrel NOT a flame thrower?;netral
Lakukan, tidak ada bola;Do it, no balls;positif
2019 FTW;2019 FTW;tidak relevan
Skrattar du f ?? rlorar du manen !!;Skrattar Du F??rlorar Du Manen!!;netral
bersumpah untuk Tuhan jika ini terjadi;swear to God if this happens;netral
@Baldieau;@BaldieAU;tidak relevan
Simulasi berkaca -kaca;The simulation is glitching;netral
Oke, ini epik;Ok, this is epic;positif
Ya;Yes;positif
Kami hidup dalam simulasi;we live in a simulation;netral
Setiap Tesla dilengkapi dengan akun yang berlangganan Pewdiepie atau Kerusuhan;Every Tesla comes with an account subscribed to PewDiePie or riot;netral
Sakit. Apakah ini di CCA?;Sick. Is this in the CCA?;negatif
https://t.co/jruhnkqqv7;https://t.co/jRuHnkqqv7;tidak relevan
Apakah ini klon Dyson untuk digunakan di luar angkasa;Is it a Dyson clone for use in space;netral
https://t.co/aotdrnocaf;https://t.co/AoTdrNOcAF;tidak relevan
Ya silahkan! Anda akan bersenang -senang dan membawa kegembiraan yang tak ternilai bagi semua anak laki -laki dan perempuan berusia 9 tahun yang memujamu seperti Mars.;Yes, please!  You'll have so much fun and bring priceless joy to all the 9 year old boys and girls who adore you like Mars.;positif
Ya;A resounding yes;positif
LAKUKAN!;DO IT!;positif
https://t.co/dulkjzl9ky;https://t.co/DUlkJzL9kY;tidak relevan
#Tonymontana #scarface https://t.co/qrnpi8cw5e;#TonyMontana #Scarface https://t.co/QRNPi8cW5E;tidak relevan
Bukan meme, hanya foto yang sangat keren. #Starman #WearesTarman https://t.co/3hrubg8oca;Not a meme, just a really cool photo. #Starman #WeAreStarman https://t.co/3HRUBG8oCA;positif
https://t.co/xzli018usd;https://t.co/xzLi018usd;tidak relevan
Timeline terbaik;best timeline;positif
https://t.co/7whocnlj7s;https://t.co/7WhOcNLj7S;tidak relevan
Baru saja menangkap berita ulasan meme ini. Mohon informasikan @pewdiepie bahwa @Benshapiro adalah manusia yang mengerikan yang takut penjual seolah -olah 40% pajak = komunisme/Soviet Rusia/Venezuela.;Just caught on to this meme review news.  Just please inform @PewDiePie that @BenShapiro is an awful human being who fear mongers as if 40% taxes = communism/Soviet Russia/Venezuela.;netral
Saya pikir setelah penyembur api Anda perlu melakukan senapan mesin;I think after the flamethrower you need to do a machine gun;positif
Meme berikutnya;NEXT MEME;netral
Meme spicy elon .. saya menyetujui;SPICY MEME ELON.. I approve;positif
T-Series dan Teamyoutube sekarang ... https://t.co/1gwu8gsxxg;T-Series and TeamYouTube right now... https://t.co/1Gwu8GSXXG;tidak relevan
https://t.co/u5qnuoobjm;https://t.co/U5QNUoOBJm;tidak relevan
YA;YES;positif
Oh boy https://t.co/vhecakclbk;OH BOY https://t.co/VHecAKclbK;tidak relevan
Jika Anda menonton Godzilla mundur, ini tentang monster yang baik yang membantu membangun kembali kota maka moonwalks ke laut.;If you watch Godzilla backwards, it's about a kind monster that helps rebuild a city then moonwalks into the ocean.;netral
Tweet legendaris;Legendary tweet;positif
Pemandangan bagus ? ?;Nice view ??;netral
@llllllltymey The Elon Musket;@lllllllthymey The Elon Musket;positif
Aku tertawa terbahak -bahak pada kalian semua.?? https://t.co/kjgd5202yn;I'm laughing my ass off at all of you.?? https://t.co/KJGD5202YN;positif
https://t.co/ndzaktjfd8;https://t.co/ndzakTJFD8;tidak relevan
MSM: ï¿½Perlawanan itu sia -sia, Anda harus berasimilasiï¿½ https://t.co/vqkemuqs2g;MSM: ï¿½Resistance is futile, you must be assimilatedï¿½ https://t.co/vQKEMUQS2G;netral
Apakah Anda elon, Anda terlihat seksi ??;Is that you Elon  you look sexy ??;positif
True https://t.co/eummclx3dx;True https://t.co/euMmClX3dx;positif
?? Celana pendek pendek?;?? short shorts?;netral
?????? https://t.co/0up6y5skdf;?????? https://t.co/0up6Y5sKdF;positif
https://t.co/RTXHT8OARP;https://t.co/RtxhT8oArp;tidak relevan
Meme ini dari saya ????????;This meme is from me ????????;netral
RT @larryfitzgerald: Sebagai OG No. 11, mencetak tiket gratis saat Anda membeli 10 dari @VividSeats adalah pengubah permainan. Terima kasih untuk Gratis ke -11ï¿½;RT @LarryFitzgerald: As the OG No. 11, scoring a free ticket when you buy 10 from @vividseats is a game changer. ï¿½ Thanks for the 11thï¿½freeï¿½;tidak relevan
Oh, apakah begitu jauh dari kebenaran??;Oh, is it so far from the truth??;negatif
Ini adalah humor yang hebat Elon.;This is great humor Elon.;positif
https://t.co/dazhqxb3ek;https://t.co/daZhqxb3eK;tidak relevan
https://t.co/zgfmqfzski;https://t.co/zGfMqfzSKi;tidak relevan
Anti mainstream ??;Anti mainstream ??;netral
New @BSSadvisors Weather Girl Ashley siap menghancurkannya musim ini, semua berkat @MuckBootco https://t.co/vjhoywqaad;New @BSSAdvisors Weather Girl Ashley is ready to crush it this season, all thanks to @MuckBootCo https://t.co/vJhoywqaAD;tidak relevan
@badri_dk dan bagaimana dengan ini ... ?? https://t.co/zk4f7uomu7;@badri_dk And what about this... ?? https://t.co/zk4F7uOmU7;tidak relevan
https://t.co/qfspzcsyni;https://t.co/QfsPzCsyNI;tidak relevan
Berapa banyak X yang Anda inginkan? $ Cal: ya;How many xs you want?  $CAL: yes;netral
Jika hanya;If only;netral
Tentu https://t.co/sqqrzd4p8p;Sure https://t.co/SqQrZd4p8p;positif
Hei, saya tidak memberikan izin saya agar tubuh saya berbelanja foto! ??????? ??????;Hey, I did not give my permission for my body to be photo-shopped! ??????? ??????;positif
Berdirilah melawan gelombang, lihatlah Erdtree, alami yang tak terlihat di dongeng.;Stand against the tide, behold the Erdtree, experience the unseen in The Fabled.;positif
Musk akan mengambil media ??;Musk will take on Media ??;positif
Elon musk laki -laki saya ???? terima kasih Tuhan saya kembali;Elon musk my man ???? Thank God Iï¿½m back;positif
https://t.co/gpq6qmyprv;https://t.co/GPq6qMyPrV;tidak relevan
Seseorang harus jelaskan;someone should please explain;netral
Dimana kebohongannya? X ????;Where is the lie? X ????;positif
Kami akan menang;We gonna win;positif
Biarkan Elon Solo mereka;Let Elon solo them;netral
https://t.co/e2n6nmebbl;https://t.co/e2n6NMeBbl;tidak relevan
?????????? https://t.co/52wqovmsrn;?????????? https://t.co/52wQOvMSrN;negatif
https://t.co/mxfc0q381j;https://t.co/mXfc0Q381j;tidak relevan
https://t.co/fwikugcm4o;https://t.co/fWIKuGcM4O;tidak relevan
Raja Internet! https://t.co/qijzxhrjsg;King of the internet! https://t.co/qijZXhRjSg;positif
Secara harfiah saya di x;Literally me on x;positif
Dan kita semua tahu bagaimana pertarungan ini berakhir;And we all know how this fight ends;netral
Baru saja memainkan permainan dunia terbuka baru ini berdasarkan kehidupan nyata benar -benar hardcore https://t.co/awwyk2yqce;Just played this new open world game based on real life  Really hardcore https://t.co/awWyk2yQCE;tidak relevan
Tentang ukurannya tetapi X akan menang.;About the size of it but X is going to win.;positif
Beberapa kebenaran untuk itu;Some truth to it;positif
Pasti terasa seperti ini sering kali ... ??;It must feel like this a lot of the time...??;positif
Media arus utama menyebalkan;Mainstream media sucks;netral
Tonton LMAO ?? https://t.co/zznns6xqqh;Watch lmao ?? https://t.co/ZzNnS6xQqh;tidak relevan
"Selamat datang di gaya Alamo, @elonmusk. """"";"Welcome to The Alamo, @elonmusk style.""""";netral
Kami tidak peduli Elon, Messi baru saja kehilangan final lain, hanya itu yang penting.;We don't care Elon, Messi just lost another final, it's all that matters atm.;negatif
Selamat pagi https://t.co/pkjb2tnj0q;Good morning https://t.co/pkjB2tNj0Q;tidak relevan
Ada lebih banyak dari mereka tetapi kekuatan kita karena orang -orang melebihi mereka;There's more of them but our strength as the people exceeds them;netral
https://t.co/00c6tvubfm;https://t.co/00C6TVUBfm;tidak relevan
Berlari tanpa hati ganas benar -benar masokis;Running with no malignant hearts is truly masochistic;netral
Saya suka dialo?????? https://t.co/fgfntfuybi;I love Diablo??????? https://t.co/fGFnTFuybI;positif
Anda harus mengalirkan diri Anda dengan berlangganan saya dengan harga $ 1;You should stream yourself subscribing to me for $1;tidak relevan
Barang -barang konyol ... merunduk dan mencari tahu https://t.co/2uscbic2gg;silly stuff... duck around and find out https://t.co/2UScbIc2gG;tidak relevan
Mainkan Poe;Play PoE;tidak relevan
Apakah akan segera terintegrasi dengan spasi? Ingin memperkuat kemampuan masyarakat untuk melakukan crowdsource informasi dan mengikuti presentasi, dll. Banyak orang akan mendapat manfaat dari untuk dapat menyediakan sumber secara real time, tanpa harus memaksa pengguna untuk melihat ke dalam ...;Will it integrate with spaces soon? Would like to strengthen communities ability to crowdsource information and follow along with presentations, etc.  Lots of people would benefit from being able to provide sources in real time, without having to force users to look into theï¿½;positif
Ingat ketika kami mengganggu permainan Diablo Anda? https://t.co/kthqlrsrgx;Remember when we interrupted your game of Diablo? https://t.co/KTHQLrsRgx;netral
Bagus ??;Nice ??;positif
Sakit menunggu https://t.co/5mc5gc569o;Ill be waiting https://t.co/5mc5gc569O;negatif
Apakah Anda akan memiliki API untuk alat streaming seperti @streamelements dan @lumiastream untuk menghubungkan? (Peringatan dll);Will you have an API for streaming tools such as @StreamElements and @LumiaStream to hook into? (Alerts etc);netral
Streaming langsung akan menjadi pengubah permainan.;Live streaming will be a game changer.;netral
Beri tahu saya jika Anda perlu membawa. ??;Let me know if you need a carry.  ??;netral
Wow??it memiliki potensi untuk menjadi livestream game yang paling banyak ditonton dalam sejarah.;wow??It has the potential to become the most-watched game livestream in history.;positif
@XDaily Apakah akan ada tips yang tersedia? Seperti bit di Twitch. Beberapa bentuk donasi bersama dengan kualitas streaming yang baik akan menggerakkan begitu banyak pencipta ke sini.;@xDaily Will there be any form of tips available? Like bits on Twitch. Some form of donation along with good streaming quality would move so many creators onto here.;netral
Elon mana yang menjadi favoritmu?;Which Elon is your favorite?;netral
Tidak sabar untuk melihat hasilnya;Canï¿½t wait to see the results;positif
Elon akan membiarkan kami melakukan streaming game di sini ???;Elon gonna let us stream games on here ???;netral
Stream Halo dengan saya;Stream halo with me;netral
Ini bagus. Kami membutuhkan cara yang berkualitas untuk streaming di sini untuk waktu yang lama!;This is great. We have needed a quality means of streaming here for a LONG TIME!;positif
Beberapa bermain di alam liar !!! https://t.co/ghtyywjguq;some playing in the wild!!! https://t.co/gHtYYWjgUQ;netral
Tak sabar menunggu;Can't wait;positif
Saya menantikan suatu acara yang tidak bisa saya mengerti.;I look forward to an event I can not understand.;negatif
https://t.co/pa4yrwhykp;https://t.co/pA4yrWHykP;tidak relevan
Diablo 2? ?? Teman saya dan saya dilarang dari D2 pada hari itu karena menggunakan peta hack. Maksud saya, ayo, setelah bertahun -tahun bermain, 1000 -an bola berlari dan lainnya, sebuah maphack adalah suatu keharusan! Game yang bagus. Itu menyebabkan kami beralih ke wow yang berbasis langganan. Langkah cerdas oleh mereka ??????;Diablo 2? ??  My mate and I got banned from D2 back in the day for using a map hack.  I mean c'mon, after years of playing, 1000's of ball runs and others, a maphack was a must! Great game.  It caused us to move on to WoW which was subscription based. Smart move by them ??????;netral
membutuhkan sistem obrolan yang lebih baik untuk pemirsa dan alat komunitas;need a better chat system for viewers and community tools;netral
Masih menunggu itu terjadi;Still waiting for it to happen;positif
Mainkan Titanfall 2, Pilih Scorch;Play Titanfall 2, pick Scorch;positif
Anda perlu menambahkan membawa orang ke dalam kotak bersama Anda. Satu -satunya hal yang bisa saya pikirkan sekarang.;You need to add bringing people up into the box with you. Only thing I can think of right now.;positif
Malam ini di ?? https://t.co/iusulxsfvz;Tonight on ?? https://t.co/iUsuLxsFvZ;tidak relevan
Saya sedang menunggu sream langsung ini;I was waiting for this live sream;positif
Dengan segala hormat, mengapa tidak memainkan sesuatu yang bagus? Diablo 4 tidak mendapatkan perhatian nol yang sama dengan semua game Blizzard. Cyberpunk 2077 baru saja mengalami ekspansi baru dan luar biasa! Keanu Reeves dan Idris Elba membunuhnya. Hanya untuk menempatkan dalam perspektif..murrent Watchers di Twitchï¿½;With all due respect, why not play something good? Diablo 4 deserves zero attention same with all Blizzard games.   Cyberpunk 2077 just had their new expansion and itï¿½s awesome! Keanu Reeves and Idris Elba killed it.   Just to put in perspective..current watchers on Twitchï¿½;negatif
Saya perhatikan bahwa streaming langsung sekarang termasuk dalam spasi yang berbaris! Dan tepat di depan ????lfg! https://t.co/1noawg8s3m;I noticed that live streams are now included in the spaces line up! And right in the front ????LFG! https://t.co/1NOaWg8s3M;netral
Gamer terkaya sepanjang masa;Richest Gamer of all time;positif
Kedengarannya seperti rencana langsung yang menarik! Speedrunning Tier 99 Nightmare Dungeon di Diablo tanpa menggunakan hati ganas harus membuat gameplay yang intens dan menghibur. Menantikan untuk menyetel sekitar pukul 11 ??malam CT;That sounds like an exciting livestream plan! Speedrunning a Tier 99 Nightmare dungeon on Diablo without using malignant hearts should make for some intense and entertaining gameplay. Looking forward to tuning in at around 11pm CT;positif
Seharusnya tidak ada batasan pada streaming langsung terima kasih!;There should be no restrictions on the livestreams  Thank You !;negatif
LOL mengejutkan karena kelihatannya saya dulu bermain Diablo selama tirani Covid Mania. Tertawa terbahak-bahak. Saya adalah penyihir tingkat tinggi bernama Katniss! ??;Lol shocking as it may seem I used to play Diablo during COVID mania tyranny. Lol.  I was a high level mage named katniss! ??;positif
Katakan: es krim sangat bagus, yum yum ??;say : Ice cream so good, yum yum  ??;tidak relevan
Kami dapat menghubungkan Anda untuk bermain @lotfgame lebih awal!;We can hook you up to play @lotfgame early!;netral
Menantikannya - dapatkah Anda memberi tahu saya kapan live akan terjadi?;Looking forward to it - can you let me know when the live is going to happen ?;positif
Maukah kamu ada di sana untuk menonton?;Will you be there to watch?;netral
Mainkan Fortnite;PLAY FORTNITE;positif
@amiris_brown Diablo asli atau yang baru?;@amiris_brown The original Diablo or the new one?;netral
Kedengarannya luar biasa! Tidak sabar untuk melihat Anda menghancurkan ruang bawah tanah Tier 99 Nightmare di Diablo! ????;Sounds awesome!  Can't wait to see you crush that Tier 99 Nightmare dungeon on Diablo! ????;positif
Akhirnya streaming langsung datang ke x ??;Finally live-streaming coming to X ??;positif
CT harus berarti crypto twitter karena saya perlu streaming langsung;CT must mean crypto twitter cos i need livestreams immediately brody;netral
Saya bertanya-tanya apakah X akan mendapatkan fitur terkait perselisihan seperti screensharing atau bahkan deteksi game dan menampilkan pengikut game apa yang saat ini Anda mainkan. ??;I wonder if X will get Discord-related features like screensharing or even game detection and show followers what game you're currently playing. ??;netral
Uji ini ??;Test this out ??;netral
Elon dan Pertunangan adalah kisah cinta ??;elon and engagement is a love story ??;positif
Oke, kami akan berada di sana ??;Ok, we will be there ??;positif
https://t.co/78kwgfrhoh;https://t.co/78kwgFrHoh;tidak relevan
Apa pelatih pembangunnya? Semoga Sukses ??;Whats the build coach? good luck ??;positif
Tantang Zuck ke permainan!;Challenge Zuck to a game!;netral
Aku bersumpah, lebih baik kamu bermain necromancer. Setiap kelas lainnya hanya dimainkan oleh manusia gua;I swear, you better be playing a Necromancer. Every other class is only played by cavemen;negatif
Itu luar biasa! Saya akan mendengarkan, tidak sabar untuk melihat bagaimana itu terungkap.;Thatï¿½s awesome! Iï¿½ll be tuning in, canï¿½t wait to see how it unfolds.;positif
Sungguh idiot;What a fucking idiot;negatif
Anda adalah donat sialan;You're a fucking donut;negatif
